Row,tet25,FEP30,Amp200,Gen10,MER10,Cipro1,CAM60,Azt32
W36662,0.34529369,0.9722359,1.508799856,0.098332004,-0.032623629,-0.939833474,-0.773196101,1.249469321
T52373,0.67468088,0.887223855,1.40137118,1.269989616,0.560429847,-0.213425681,-0.805500468,0.774121461
RMI,2.188784254,0.899686589,4.71365852,1.191777125,1.20701608,1.064386172,1.024838712,2.252724362
F30658,0.359251658,0.418984284,-0.122560588,-1.163436014,-1.044911488,-0.98433233,0.059968117,-0.75256582
W91453,0.295459022,0.353362479,-0.220258149,-1.115075089,-0.967607426,-0.963193633,-0.487021672,-0.879867938
W25637,-0.114333608,0.38068091,-0.183030595,-1.159762655,-0.86667688,-0.976380404,-0.150641231,-1.169181633
M55212,0.348033237,0.626826191,-0.194477696,-1.120824425,-0.810022055,-0.973672138,-0.822650155,-0.339745007
F22031,1.299478011,1.181653988,1.812050056,0.083229822,0.113115236,0.647887418,0.862731461,0.815911802
M74707,0.500652111,0.95633996,-0.097437925,-0.175905603,1.183508317,-0.631972622,-0.173543988,0.141840416
T38079,0.492663249,0.384935432,-0.220258149,0.324662824,0.171508259,-0.975375943,-0.544405239,-0.198273452
F9670,0.302066297,0.515493306,-0.187907616,0.357336815,0.482906351,-1.004215808,0.530616565,0.345538916
F5677,0.073717457,-0.578203914,-0.149902229,-0.041228174,0.883850139,-0.957841444,0.151228735,-0.496084425
PA7,-0.208726935,-0.964985904,-0.472829482,-1.115417471,0.369492554,-1.015600772,-0.825008667,-1.513090654
D-3rsw,-1.309005192,-1.616951265,-0.910487627,-1.22283885,-1.513324353,-1.0132751,-0.823272524,0.241563544
D+4bld,-1.332390245,-1.622128909,-0.905389348,-1.218947398,-1.513610317,-0.997045319,-0.834164109,0.235953336
D+4rsw,-1.304328181,-1.616530666,-0.875196574,-1.219943373,-1.517077647,-0.997614627,-0.80614443,0.234925939
D+3bld,-1.363960067,-1.616633197,-0.906706443,-1.219943373,-1.513610317,-1.011597192,-0.83473888,0.293458172
D+7spt,-1.303158928,-1.62135001,-0.906706443,-1.219943373,-1.51121025,-1.011597192,-0.821088457,0.4066261
D-10rsw,-1.333559498,-1.618663549,-0.906536343,-1.196687109,-1.514419199,-1.011567175,-0.848447106,-0.03910152
D+5bld,-1.331220992,-1.632181728,-0.871201583,-1.192888107,-1.511027508,-0.995926713,-0.805052396,0.103644247
D+7bld,-1.300820423,-1.604841243,-0.87135869,-1.218783471,-1.507282792,-1.010468581,-0.833618093,-0.824446497
S86968,0.041256411,0.30311603,-0.257859223,-1.116675369,-0.357463444,0.58747535,0.202875947,1.155183856
X78812,0.781513931,0.357726826,0.685565632,0.949545265,1.098284776,-0.117521111,4.88156428,0.961590877
H47921,0.550716816,0.932431246,0.100215669,1.038058893,1.023128008,1.673166618,0.603277995,0.755679723
PAO1,0.814987955,0.979072538,0.124029195,0.89674491,1.308631635,1.112410647,0.715002021,1.12599111
F34365,1.354611762,0.86772997,-0.211913678,0.410374971,0.917525388,1.18061474,1.00972307,0.712107017
F23197,1.001291879,0.831168029,-0.248150197,0.44557787,1.002847803,1.035865795,0.445882955,0.491358685
W60856,0.358426668,0.889271787,-0.183030595,0.122440256,0.404092714,0.68493383,-0.152485922,0.212551995
PA14,1.64686554,1.070129271,0.06450981,1.872405709,1.334828971,1.301735174,0.482817438,0.905202444
T6313,0.611632406,0.95802957,-0.257485702,1.154204095,0.674602898,0.813458702,-0.305088425,-0.036496548
M37351,-0.559651237,0.425505563,-0.116773864,0.404151283,0.475676049,0.714086588,0.132795839,0.272952891
F63912,-1.299673459,0.785250074,-0.150256003,0.596829774,0.462059366,0.792732674,-0.513336291,0.018514669
H5708,-1.317018524,0.756219882,-0.161349331,-0.031499191,1.032715482,0.969403524,-0.104030578,0.213477051
M1608,-0.989578324,0.214039543,-0.174287335,2.179309626,0.270626727,0.721616878,-0.524457666,0.060688521
X9820,0.179459529,-1.013474645,-0.257859223,0.525156766,0.512273411,0.131822401,0.015256566,-3.158873443
H27930,0.764067157,-0.685202775,-0.430571,0.303440624,-0.674762245,-0.449358135,0.753166843,-1.99170149
W70322,-1.289733669,-0.551645602,-0.220258149,-0.097161066,-0.755570026,-0.000931725,0.1939305,-1.650653056
T63266,-0.562740846,-0.589733653,-0.220631669,0.618060837,0.364289113,1.46457806,-0.37730632,-1.360263588
W45909,0.689933336,0.77789594,0.930257942,0.715135578,0.933589295,1.798617172,0.457988601,0.22176441
W16407,1.245056875,-0.392482102,0.552213588,1.290195453,0.824201159,1.55795538,0.641533073,0.207504205